"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1344664229035601920","https://twitter.com/haruchannna/status/1344664229035601920","@mashi_melon こちらこそいつもありがとうございます😊
今年も宜しくお願いします！","2020-12-31 15:18 +0000","70.0","1.0","0.014285714285714285","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1344448816628396032","https://twitter.com/haruchannna/status/1344448816628396032","今年も終わっちゃう〜🐩

今年はTwitter活動して、たくさんのワンちゃんと出会えた💖🌼

楽しかったわん🐶

大晦日もママの膝で過ごすよ〜🧸 https://t.co/AJBBDtebrm","2020-12-31 01:02 +0000","1195.0","215.0","0.1799163179916318","2.0","1.0","153.0","12.0","0.0","0.0","16.0","0.0","0","0","0","0","0","31","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1344446809582698496","https://twitter.com/haruchannna/status/1344446809582698496","https://t.co/O8fCCB2ECG","2020-12-31 00:54 +0000","3317.0","418.0","0.12601748567983118","4.0","0.0","305.0","32.0","1.0","0.0","19.0","0.0","0","0","0","0","0","57","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1343537062759165952","https://twitter.com/haruchannna/status/1343537062759165952","脚長なんです🦵 https://t.co/jTJYkFyffD","2020-12-28 12:39 +0000","2963.0","490.0","0.1653729328383395","6.0","4.0","335.0","37.0","1.0","0.0","60.0","0.0","0","0","0","0","0","671","47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1343378984160018432","https://twitter.com/haruchannna/status/1343378984160018432","どうしてもママにくっついていたい🐶 https://t.co/irWpcpzBv4","2020-12-28 02:11 +0000","4506.0","672.0","0.14913448735019974","6.0","3.0","403.0","43.0","0.0","0.0","88.0","0.0","0","0","0","0","0","1092","129","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1342430823899807744","https://twitter.com/haruchannna/status/1342430823899807744","メリークリスマス🎄🎁 https://t.co/vAD1LeaWer","2020-12-25 11:23 +0000","2316.0","397.0","0.17141623488773747","4.0","0.0","267.0","35.0","0.0","0.0","24.0","0.0","0","0","0","0","0","541","67","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1341721218655821827","https://twitter.com/haruchannna/status/1341721218655821827","ブブゥ〜💨 https://t.co/igwrols0sW","2020-12-23 12:24 +0000","1790.0","313.0","0.17486033519553074","2.0","1.0","190.0","25.0","0.0","0.0","40.0","0.0","0","0","0","0","0","419","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1341146352974143488","https://twitter.com/haruchannna/status/1341146352974143488","@ue260227 おはようございます☀

ありがとうございます😊今日も頑張っていきましょう！","2020-12-21 22:19 +0000","63.0","2.0","0.031746031746031744","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1341119403073519616","https://twitter.com/haruchannna/status/1341119403073519616","毎日アスレチックで遊べます🐶 https://t.co/9rREcHR6Zt","2020-12-21 20:32 +0000","3878.0","427.0","0.11010830324909747","12.0","1.0","273.0","36.0","1.0","0.0","49.0","0.0","0","0","0","0","0","873","55","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1340036275626131456","https://twitter.com/haruchannna/status/1340036275626131456","左右が気になります🐶 https://t.co/OTAjGcvHWU","2020-12-18 20:48 +0000","4098.0","583.0","0.14226451927769643","4.0","6.0","406.0","50.0","2.0","0.0","53.0","0.0","0","0","0","0","0","1097","62","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1339148892156223488","https://twitter.com/haruchannna/status/1339148892156223488","かまってよ〜🥺 https://t.co/tMR29V1r3H","2020-12-16 10:02 +0000","2112.0","369.0","0.1747159090909091","0.0","0.0","229.0","29.0","1.0","0.0","56.0","0.0","0","0","0","0","0","559","54","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1338412484823138304","https://twitter.com/haruchannna/status/1338412484823138304","みかん🍊
食べたがり坊や🥰 https://t.co/RNsGot5kI2","2020-12-14 09:16 +0000","2165.0","409.0","0.18891454965357968","0.0","1.0","240.0","48.0","2.0","0.0","49.0","0.0","0","0","0","0","0","570","69","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1338020979386118144","https://twitter.com/haruchannna/status/1338020979386118144","片想いしてるリリィちゃんとお散歩🌼💖
逃げられる🐩 https://t.co/aDqDueTKYX","2020-12-13 07:20 +0000","1779.0","331.0","0.18605958403597528","4.0","1.0","222.0","20.0","0.0","0.0","27.0","0.0","0","0","0","0","0","436","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1337399829723402240","https://twitter.com/haruchannna/status/1337399829723402240","暗闇の中、玄関でおすわりしておりました🐶","2020-12-11 14:12 +0000","506.0","18.0","0.03557312252964427","0.0","1.0","16.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
