ツイート本文,ツイート本文_x,時間,media_exist,reply_flg,URLクリック数,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,ハッシュタグクリック,フォローしている,メディアのエンゲージメント数,メディアの再生数,ユーザープロフィールクリック,詳細クリック,返信,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
お風呂頑張った後のおやつは格別だ🐶 https://t.co/r3Y3p7XKAC,お風呂頑張った後のおやつは格別だ🐶 ,2021-03-16 11:42:00+00:00,True,False,5.0,175.0,2.0,2058.0,269.0,0.1307094266277939,0.0,0,30,452,30.0,27.0,0.0,18,20210316,2021,3,16,11,1,11
この美味いやつ隠しとこ😋 https://t.co/goDJfCewiz,この美味いやつ隠しとこ😋 ,2021-03-14 23:38:00+00:00,True,False,2.0,191.0,3.0,2544.0,292.0,0.1147798742138364,0.0,0,44,432,28.0,24.0,0.0,13,20210314,2021,3,14,23,6,10
ちびセクシー https://t.co/nD8eWokMQ6,ちびセクシー ,2021-03-14 10:37:00+00:00,True,False,2.0,207.0,2.0,2371.0,311.0,0.1311682834247153,0.0,0,39,472,31.0,30.0,0.0,7,20210314,2021,3,14,10,6,10
おふぁようごじゃいま〜す https://t.co/U9LBDcCwUS,おふぁようごじゃいま〜す ,2021-03-13 23:05:00+00:00,True,False,3.0,234.0,0.0,2915.0,365.0,0.1252144082332761,0.0,0,50,504,44.0,34.0,0.0,13,20210313,2021,3,13,23,5,10
寝ていた場所が高かったことに気付いて萎えてしまうみるく https://t.co/QeIZYfFYeS,寝ていた場所が高かったことに気付いて萎えてしまうみるく ,2021-03-12 02:17:00+00:00,True,False,6.0,293.0,7.0,5993.0,756.0,0.126147171700317,0.0,0,268,1254,79.0,101.0,2.0,28,20210312,2021,3,12,2,4,10
わんこの集い🐶 https://t.co/9AHHPIUmAr,わんこの集い🐶 ,2021-03-11 10:39:00+00:00,True,False,4.0,138.0,1.0,1687.0,225.0,0.1333728512151748,0.0,0,30,405,32.0,20.0,0.0,8,20210311,2021,3,11,10,3,10
@Suzuka3228 人用のブラシは嫌がらないです🥰, 人用のブラシは嫌がらないです🥰,2021-03-11 10:37:00+00:00,False,True,0.0,1.0,0.0,11.0,2.0,0.1818181818181818,0.0,0,0,0,0.0,0.0,1.0,16,20210311,2021,3,11,10,3,10
"もっさもさ
トリミングしないとな https://t.co/9iH11dUlWf",もっさもさ トリミングしないとな ,2021-03-09 15:43:00+00:00,True,False,1.0,163.0,2.0,1856.0,238.0,0.1282327586206896,0.0,0,25,432,14.0,31.0,2.0,17,20210309,2021,3,9,15,1,10
@shibainu_okoge 右セクシー派です👍, 右セクシー派です👍,2021-03-08 13:05:00+00:00,False,True,0.0,0.0,0.0,288.0,1.0,0.0034722222222222,0.0,0,0,0,0.0,0.0,1.0,10,20210308,2021,3,8,13,0,10
最近ちょっと太って可愛いおケツになりました🍑 https://t.co/V8WQOAdU8e,最近ちょっと太って可愛いおケツになりました🍑 ,2021-03-08 13:04:00+00:00,True,False,6.0,279.0,4.0,3108.0,456.0,0.1467181467181467,0.0,0,91,790,36.0,40.0,0.0,23,20210308,2021,3,8,13,0,10
@YFRPq0gxMehU1bp 頭からは昆布みたいに香ばしい匂いが立ち込めております☺️, 頭からは昆布みたいに香ばしい匂いが立ち込めております☺️,2021-03-08 13:02:00+00:00,False,True,0.0,2.0,0.0,15.0,2.0,0.1333333333333333,0.0,0,0,0,0.0,0.0,0.0,29,20210308,2021,3,8,13,0,10
"@MILTAMARUJIRO ありがとうございます^ ^
良かったです😆", ありがとうございます  良かったです😆,2021-03-07 21:20:00+00:00,False,True,0.0,1.0,0.0,29.0,3.0,0.1034482758620689,0.0,0,0,0,2.0,0.0,0.0,20,20210307,2021,3,7,21,6,9
ロールみるく🌀 https://t.co/ShPBGtndEz,ロールみるく🌀 ,2021-03-07 21:10:00+00:00,True,False,8.0,323.0,8.0,5740.0,578.0,0.1006968641114982,0.0,0,98,994,72.0,67.0,2.0,8,20210307,2021,3,7,21,6,9
"歯磨きガム🪥
ポキポキ https://t.co/le4fVWqc2j",歯磨きガム🪥 ポキポキ ,2021-03-07 11:48:00+00:00,True,False,4.0,168.0,6.0,2268.0,269.0,0.1186067019400352,0.0,0,36,440,31.0,24.0,0.0,12,20210307,2021,3,7,11,6,9
"お天気いいから自転車でお出かけ🚴
停まって開けたら顔がぴょこっ🐶 https://t.co/KiifA8cVc9",お天気いいから自転車でお出かけ🚴 停まって開けたら顔がぴょこっ🐶 ,2021-03-06 04:32:00+00:00,True,False,3.0,234.0,3.0,2634.0,492.0,0.1867881548974943,0.0,0,198,198,35.0,19.0,0.0,33,20210306,2021,3,6,4,5,9
