"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1376905599867228163","https://twitter.com/haruchannna/status/1376905599867228163","@teatime3fairy こちらこそ宜しくお願いします😆","2021-03-30 14:34 +0000","14.0","1.0","0.07142857142857142","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1376805644515172354","https://twitter.com/haruchannna/status/1376805644515172354","ねむねむむむ🥱 https://t.co/Ggro68dOXM","2021-03-30 07:57 +0000","2654.0","331.0","0.12471740768651093","3.0","0.0","216.0","44.0","3.0","0.0","29.0","0.0","0","0","0","0","0","463","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1375056758255706115","https://twitter.com/haruchannna/status/1375056758255706115","こっちに来るかと思いきや
それちゃって💦
パニック映像になった😂😂 https://t.co/MDTBBDr30f","2021-03-25 12:07 +0000","1362.0","199.0","0.1461086637298091","0.0","0.0","107.0","17.0","4.0","0.0","10.0","0.0","0","0","0","0","0","388","61","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374917380795637764","https://twitter.com/haruchannna/status/1374917380795637764","@hitomin_rabi 頑張りました😊
この後いっぱいおやつあげました🍭","2021-03-25 02:53 +0000","37.0","2.0","0.05405405405405406","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374917228714291206","https://twitter.com/haruchannna/status/1374917228714291206","@santemafi ありがとうございます😊
頑張りました😆","2021-03-25 02:53 +0000","35.0","1.0","0.02857142857142857","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374916807190933505","https://twitter.com/haruchannna/status/1374916807190933505","@xtrSy2CC5y4flrZ ありがとうございます😊
頑張りました😆","2021-03-25 02:51 +0000","24.0","1.0","0.041666666666666664","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374916643814481920","https://twitter.com/haruchannna/status/1374916643814481920","@pooh715maru217 今年1のインでした😅","2021-03-25 02:50 +0000","35.0","1.0","0.02857142857142857","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374295021499785218","https://twitter.com/haruchannna/status/1374295021499785218","早くママのとこ行きたいよ😂 https://t.co/6lLCMAliPH","2021-03-23 09:40 +0000","5243.0","706.0","0.1346557314514591","7.0","12.0","307.0","95.0","7.0","0.0","129.0","0.0","0","0","0","0","0","1306","149","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1373441532154376194","https://twitter.com/haruchannna/status/1373441532154376194","箱崎に新しくできたペットショップCOO&amp;RIKUの無料ドッグランにて

大はしゃぎのみるくさんです♪ https://t.co/RDk328R61N","2021-03-21 01:09 +0000","2517.0","250.0","0.09932459276916965","3.0","0.0","156.0","35.0","2.0","0.0","18.0","0.0","0","0","0","0","0","561","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1372783500244381697","https://twitter.com/haruchannna/status/1372783500244381697","ご飯待ち https://t.co/XLaAtfUMhx","2021-03-19 05:34 +0000","2573.0","329.0","0.12786630392537893","1.0","1.0","206.0","29.0","5.0","0.0","43.0","0.0","0","0","0","0","0","476","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
