ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
@YFRPq0gxMehU1bp 頭からは昆布みたいに香ばしい匂いが立ち込めております☺️, 頭からは昆布みたいに香ばしい匂いが立ち込めております☺️,2021-03-08 13:02:00+00:00,2.0,0.0,15.0,2.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,29,20210308,2021,3,8,13,0,10
"@MILTAMARUJIRO ありがとうございます^ ^
良かったです😆", ありがとうございます  良かったです😆,2021-03-07 21:20:00+00:00,1.0,0.0,29.0,3.0,0.1034482758620689,0.0,2.0,0.0,0.0,0.0,0,0,0,False,True,20,20210307,2021,3,7,21,6,9
ロールみるく🌀 https://t.co/ShPBGtndEz,ロールみるく🌀 ,2021-03-07 21:10:00+00:00,323.0,8.0,5740.0,578.0,0.1006968641114982,2.0,72.0,8.0,0.0,67.0,0,994,98,True,False,8,20210307,2021,3,7,21,6,9
"歯磨きガム🪥
ポキポキ https://t.co/le4fVWqc2j",歯磨きガム🪥 ポキポキ ,2021-03-07 11:48:00+00:00,168.0,6.0,2268.0,269.0,0.1186067019400352,0.0,31.0,4.0,0.0,24.0,0,440,36,True,False,12,20210307,2021,3,7,11,6,9
"お天気いいから自転車でお出かけ🚴
停まって開けたら顔がぴょこっ🐶 https://t.co/KiifA8cVc9",お天気いいから自転車でお出かけ🚴 停まって開けたら顔がぴょこっ🐶 ,2021-03-06 04:32:00+00:00,234.0,3.0,2634.0,492.0,0.1867881548974943,0.0,35.0,3.0,0.0,19.0,0,198,198,True,False,33,20210306,2021,3,6,4,5,9
あったかいベッド🛌 https://t.co/2iuMQJeci9,あったかいベッド🛌 ,2021-03-04 06:26:00+00:00,216.0,3.0,2483.0,346.0,0.139347563431333,0.0,42.0,2.0,0.0,37.0,0,455,46,True,False,10,20210304,2021,3,4,6,3,9
散歩🐶 https://t.co/oq05hDk4Cn,散歩🐶 ,2021-03-03 13:45:00+00:00,164.0,5.0,1681.0,232.0,0.1380130874479476,0.0,16.0,1.0,0.0,19.0,0,376,27,True,False,4,20210303,2021,3,3,13,2,9
"膝の上でぬくぬく☺️
ぷいッ😑 https://t.co/nNBtgOYqz2",膝の上でぬくぬく☺️ ぷいッ😑 ,2021-02-27 10:02:00+00:00,190.0,4.0,2156.0,300.0,0.1391465677179963,1.0,27.0,3.0,0.0,44.0,0,449,31,True,False,16,20210227,2021,2,27,10,5,8
おだんごの上より https://t.co/jPFSZSvlKf,おだんごの上より ,2021-02-26 15:07:00+00:00,190.0,2.0,1889.0,268.0,0.1418740074113287,1.0,15.0,4.0,0.0,23.0,0,419,33,True,False,9,20210226,2021,2,26,15,4,8
みるくは鼻の質感と歯がリアルなぬいぐるみでした🧸 https://t.co/UfywwEEyaH https://t.co/U907lheXuz,みるくは鼻の質感と歯がリアルなぬいぐるみでした🧸  ,2021-02-25 14:48:00+00:00,52.0,0.0,1364.0,112.0,0.0821114369501466,0.0,7.0,0.0,0.0,10.0,0,43,43,True,False,26,20210225,2021,2,25,14,3,8
