ツイート本文,ツイート本文_x,時間,いいね,リツイート,インプレッション,エンゲージメント,エンゲージメント率,返信,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,フォローしている,メディアの再生数,メディアのエンゲージメント数,media_exist,reply_flg,文字数,YMD,YEAR,MONTH,DAY,TIME,WEEKDAY,WEEK
一緒にAmazonプライムでSPECを見てます🎦 https://t.co/C9hyhrTTfJ,一緒にプライムでを見てます🎦 ,2020-10-01 11:46:00+00:00,480.0,10.0,6989.0,751.0,0.1074545714694519,3.0,72.0,0.0,0.0,92.0,0,1444,94,True,False,15,20201001,2020,10,1,11,3,40
@v1sQn2lLTptiHyf 4枚目だけ「へっ！」って感じですね😆, 枚目だけ「へっ」って感じですね😆,2020-10-01 10:04:00+00:00,1.0,0.0,210.0,7.0,0.0333333333333333,1.0,5.0,0.0,0.0,0.0,0,0,0,False,True,17,20201001,2020,10,1,10,3,40
"@kimama_yasei たじたじになっちゃいました😂
可愛いなんて、ありがとうございます😊", たじたじになっちゃいました😂 可愛いなんて、ありがとうございます😊,2020-10-01 10:03:00+00:00,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,34,20201001,2020,10,1,10,3,40
"@axrhHwh2OWYkLyB ありがとうございます😊
れこちゃんもほんとに可愛いですね😍フォロー返させて頂きました^_^
これからよろしくお願いします🤲", ありがとうございます😊 れこちゃんもほんとに可愛いですね😍フォロー返させて頂きました これからよろしくお願いします🤲,2020-10-01 10:02:00+00:00,1.0,0.0,80.0,3.0,0.0375,0.0,2.0,0.0,0.0,0.0,0,0,0,False,True,59,20201001,2020,10,1,10,3,40
"@RangeNatsu そうなんですね。オクラとかトマトも確かに良さそうな気がします😂
私もみるくのためにもっと勉強しないとな🙂", そうなんですね。オクラとかトマトも確かに良さそうな気がします😂 私もみるくのためにもっと勉強しないとな🙂,2020-10-01 10:00:00+00:00,1.0,0.0,77.0,2.0,0.0259740259740259,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,53,20201001,2020,10,1,10,3,40
@RangeNatsu そうですよね〜、分量に気を付けます^_^, そうですよね〜、分量に気を付けます,2020-10-01 05:38:00+00:00,1.0,0.0,175.0,3.0,0.0171428571428571,1.0,1.0,0.0,0.0,0.0,0,0,0,False,True,18,20201001,2020,10,1,5,3,40
@co3MvtgEz08C9i9 ご心配ありがとうございます😊調べたところ一応分量にだけ気をつければ大丈夫のようです🙆‍♂️, ご心配ありがとうございます😊調べたところ一応分量にだけ気をつければ大丈夫のようです🙆‍♂️,2020-10-01 05:37:00+00:00,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,46,20201001,2020,10,1,5,3,40
🐶梅干し酸っぱ過ぎるよ😂 https://t.co/0KyBJhfgrA,🐶梅干し酸っぱ過ぎるよ😂 ,2020-10-01 01:27:00+00:00,342.0,7.0,6559.0,944.0,0.1439243787162677,4.0,87.0,8.0,0.0,369.0,0,1421,127,True,False,13,20201001,2020,10,1,1,3,40
ワニみたい🐊 https://t.co/PhXjnFyRln,ワニみたい🐊 ,2020-09-28 10:57:00+00:00,462.0,4.0,6991.0,781.0,0.1117150622228579,0.0,53.0,5.0,0.0,123.0,0,1557,134,True,False,7,20200928,2020,9,28,10,0,40
@milk_pudol この後飼い主は目が回ってました🤣, この後飼い主は目が回ってました🤣,2020-09-27 08:34:00+00:00,1.0,0.0,30.0,1.0,0.0333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,17,20200927,2020,9,27,8,6,39
エンドレスくるくる回転🤩 https://t.co/HX1b8rj5Wf,エンドレスくるくる回転🤩 ,2020-09-27 02:09:00+00:00,303.0,4.0,2735.0,469.0,0.1714808043875685,1.0,42.0,0.0,0.0,36.0,0,897,83,True,False,13,20200927,2020,9,27,2,6,39
"@1999Sleeper 了解しました👐
少々お待ち下さい🤩", 了解しました👐 少々お待ち下さい🤩,2020-09-26 14:49:00+00:00,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,18,20200926,2020,9,26,14,5,39
"@usagi_lovechan2 ありがとうございます😍
よろしくお願いいたします💞", ありがとうございます😍 よろしくお願いいたします💞,2020-09-26 11:54:00+00:00,0.0,0.0,35.0,4.0,0.1142857142857142,1.0,3.0,0.0,0.0,0.0,0,0,0,False,True,26,20200926,2020,9,26,11,5,39
"@ChachacoR ありがとうございます😍
これから仲良くして頂けたら嬉しいです💞
よろしくお願いいたします☺️", ありがとうございます😍 これから仲良くして頂けたら嬉しいです💞 よろしくお願いいたします☺️,2020-09-26 11:54:00+00:00,1.0,0.0,43.0,3.0,0.0697674418604651,1.0,1.0,0.0,0.0,0.0,0,0,0,False,True,47,20200926,2020,9,26,11,5,39
@AP73mTFPfDtI0lX ほんと、ウインクですね💞, ほんと、ウインクですね💞,2020-09-26 11:54:00+00:00,1.0,0.0,17.0,1.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,13,20200926,2020,9,26,11,5,39
"@shintanmomotan お分かりいただける方がいて嬉しいです😍
ありがとうございます💞", お分かりいただける方がいて嬉しいです😍 ありがとうございます💞,2020-09-26 11:54:00+00:00,1.0,0.0,15.0,1.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,32,20200926,2020,9,26,11,5,39
@shintanmomotan ありがとうございます😊, ありがとうございます😊,2020-09-26 10:49:00+00:00,1.0,0.0,49.0,1.0,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200926,2020,9,26,10,5,39
@1999Sleeper 🐶終わり良ければ全てよしがモットーだわん, 🐶終わり良ければ全てよしがモットーだわん,2020-09-26 10:49:00+00:00,1.0,0.0,56.0,2.0,0.0357142857142857,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200926,2020,9,26,10,5,39
🐶ドレミの歌弾いてみました https://t.co/figgIwfYnL,🐶ドレミの歌弾いてみました ,2020-09-26 09:12:00+00:00,472.0,18.0,7841.0,970.0,0.1237087106236449,2.0,68.0,1.0,0.0,141.0,0,1735,268,True,False,14,20200926,2020,9,26,9,5,39
片目だけチラッ https://t.co/Ys8FIR4NFg,片目だけチラッ ,2020-09-24 10:36:00+00:00,385.0,5.0,4464.0,556.0,0.1245519713261648,4.0,56.0,7.0,0.0,33.0,0,66,66,True,False,8,20200924,2020,9,24,10,3,39
"@4Kj5RgyprZUzL6T 寝てそうで目は開いてました😂
画像ありがとうございます!!😍
可愛いです🥺💞
めちゃくちゃ嬉しいです🥺", 寝てそうで目は開いてました😂 画像ありがとうございます😍 可愛いです🥺💞 めちゃくちゃ嬉しいです🥺,2020-09-23 12:13:00+00:00,1.0,0.0,29.0,4.0,0.1379310344827586,1.0,2.0,0.0,0.0,0.0,0,0,0,False,True,50,20200923,2020,9,23,12,2,39
不動な監督さん👐 https://t.co/3LglZDYNLj,不動な監督さん👐 ,2020-09-23 01:30:00+00:00,272.0,4.0,3539.0,539.0,0.1523029104266742,1.0,25.0,1.0,0.0,47.0,0,917,189,True,False,9,20200923,2020,9,23,1,2,39
@coco20170416 大変ですけど可愛くて相手しちゃうんですよね😂, 大変ですけど可愛くて相手しちゃうんですよね😂,2020-09-23 01:25:00+00:00,1.0,0.0,31.0,2.0,0.064516129032258,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,23,20200923,2020,9,23,1,2,39
"@1999Sleeper 面白くて永遠に鑑賞してます🤣
Netflixで観れるのでおすすめです😊", 面白くて永遠に鑑賞してます🤣 で観れるのでおすすめです😊,2020-09-22 05:50:00+00:00,1.0,0.0,92.0,4.0,0.0434782608695652,1.0,0.0,0.0,0.0,2.0,0,0,0,False,True,29,20200922,2020,9,22,5,1,39
"@1999Sleeper 声優さんは分かりませんが、
宇宙兄弟です😊", 声優さんは分かりませんが、 宇宙兄弟です😊,2020-09-22 05:08:00+00:00,1.0,0.0,41.0,4.0,0.0975609756097561,1.0,0.0,0.0,0.0,2.0,0,0,0,False,True,22,20200922,2020,9,22,5,1,39
"@1999Sleeper お経🤣🤣
アニメを流していたその音ですね!", お経🤣🤣 アニメを流していたその音ですね,2020-09-22 03:21:00+00:00,1.0,0.0,76.0,2.0,0.0263157894736842,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200922,2020,9,22,3,1,39
お昼寝しようかなぁ〜 https://t.co/frWpDVD65j,お昼寝しようかなぁ〜 ,2020-09-22 02:12:00+00:00,725.0,12.0,11591.0,1136.0,0.098007074454318,2.0,109.0,4.0,0.0,150.0,0,2259,134,True,False,11,20200922,2020,9,22,2,1,39
"ISLAND長崎に行った時の動画を編集したいのに無くなっちゃった〜😭
僕の動画どこいっちゃったのよー😣 https://t.co/IXPWVoQiIN",長崎に行った時の動画を編集したいのに無くなっちゃった〜😭 僕の動画どこいっちゃったのよー😣 ,2020-09-21 03:51:00+00:00,480.0,8.0,7754.0,733.0,0.0945318545266959,0.0,68.0,2.0,0.0,92.0,0,1576,83,True,False,46,20200921,2020,9,21,3,0,39
"@1999Sleeper @YouTube ご視聴ありがとうございます🥰
お試しサイズ出して欲しいですね💞",  ご視聴ありがとうございます🥰 お試しサイズ出して欲しいですね💞,2020-09-20 13:05:00+00:00,1.0,0.0,30.0,2.0,0.0666666666666666,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,33,20200920,2020,9,20,13,6,38
ブッチをトイプードルに食べさせてみた食レポupしました！参考になれば幸いです☺️https://t.co/XKfoLhrwOR @YouTubeより,ブッチをトイプードルに食べさせてみた食レポしました参考になれば幸いです☺️ より,2020-09-20 10:49:00+00:00,16.0,0.0,686.0,40.0,0.0583090379008746,1.0,7.0,3.0,0.0,9.0,0,4,4,True,True,40,20200920,2020,9,20,10,6,38
"@1999Sleeper 初回は3本セット3000円でした!
明日、YouTubeで動画upするので
ぜひ参考にしてみてください💞🥰", 初回は本セット円でした 明日、で動画するので ぜひ参考にしてみてください💞🥰,2020-09-19 14:45:00+00:00,1.0,0.0,16.0,1.0,0.0625,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,39,20200919,2020,9,19,14,5,38
犬の気持ちによると、ワンちゃんのストレスランキング1位は散歩不足、2位が飼い主が不機嫌なこと、3位はマズル（口周り）をつかまれて叱られることらしいです。最近歯磨きをするときにマズルを掴んでいたので、気をつけないとな〜。でも歯磨きにすごい抵抗するからどうしたら良いんだろう😂 https://t.co/5i4l8i6oag,犬の気持ちによると、ワンちゃんのストレスランキング位は散歩不足、位が飼い主が不機嫌なこと、位はマズル口周りをつかまれて叱られることらしいです。最近歯磨きをするときにマズルを掴んでいたので、気をつけないとな〜。でも歯磨きにすごい抵抗するからどうしたら良いんだろう😂 ,2020-09-18 13:23:00+00:00,76.0,0.0,1419.0,212.0,0.1494009866102889,0.0,16.0,0.0,0.0,25.0,0,95,95,True,False,132,20200918,2020,9,18,13,4,38
構ってビームが強すぎた🤩 https://t.co/Wi6avV2PXa,構ってビームが強すぎた🤩 ,2020-09-18 08:35:00+00:00,546.0,13.0,7291.0,908.0,0.124537100534906,3.0,77.0,4.0,0.0,89.0,0,1812,176,True,False,13,20200918,2020,9,18,8,4,38
@Tidus_yuuna お待ちください💞, お待ちください💞,2020-09-18 05:36:00+00:00,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,9,20200918,2020,9,18,5,4,38
"@chloe_0504_ms そうなんですね！
お待ちください💞", そうなんですね お待ちください💞,2020-09-18 05:36:00+00:00,1.0,0.0,41.0,1.0,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,17,20200918,2020,9,18,5,4,38
@7RFSTS8Pn3gVs8W 美味しいみたいでバクバク食べてます😂, 美味しいみたいでバクバク食べてます😂,2020-09-18 05:36:00+00:00,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,19,20200918,2020,9,18,5,4,38
"@1999Sleeper ウェットフードですよ💞
わんちゃん用です!!", ウェットフードですよ💞 わんちゃん用です,2020-09-18 05:35:00+00:00,1.0,0.0,29.0,2.0,0.0689655172413793,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200918,2020,9,18,5,4,38
そうですか！いろんなワンちゃんに大人気ですよね😆 https://t.co/DkBWgtFQL1,そうですかいろんなワンちゃんに大人気ですよね😆 ,2020-09-17 10:54:00+00:00,18.0,0.0,1260.0,34.0,0.0269841269841269,0.0,11.0,0.0,0.0,5.0,0,0,0,True,False,24,20200917,2020,9,17,10,3,38
@37t3P あるあるです〜😂, あるあるです〜😂,2020-09-17 03:29:00+00:00,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,9,20200917,2020,9,17,3,3,38
@nahayuni15450 確かにオムツに見えますね🤣, 確かにオムツに見えますね🤣,2020-09-17 03:26:00+00:00,1.0,0.0,29.0,2.0,0.0689655172413793,0.0,1.0,0.0,0.0,0.0,0,0,0,False,True,14,20200917,2020,9,17,3,3,38
@natsumaru2224 福岡県の大濠公園です🥰, 福岡県の大濠公園です🥰,2020-09-17 03:26:00+00:00,1.0,0.0,66.0,3.0,0.0454545454545454,0.0,0.0,0.0,0.0,2.0,0,0,0,False,True,12,20200917,2020,9,17,3,3,38
"ブッチが届いたよ！
早く食べたい😍
食リポ動画は後日upします☺️ https://t.co/ZRGOqj4QBK",ブッチが届いたよ 早く食べたい😍 食リポ動画は後日します☺️ ,2020-09-17 03:24:00+00:00,396.0,8.0,6579.0,782.0,0.1188630490956072,4.0,72.0,1.0,0.0,77.0,0,224,224,True,False,31,20200917,2020,9,17,3,3,38
みるくとお散歩💞 https://t.co/MxBWM9kHbB,みるくとお散歩💞 ,2020-09-14 13:51:00+00:00,512.0,4.0,6237.0,934.0,0.1497514830848164,4.0,84.0,2.0,0.0,50.0,0,278,278,True,False,9,20200914,2020,9,14,13,0,38
"ママがコロナ対策だ!って
空気清浄機送ってくれた〜😭神✨

みるくは機械が怖くて一定の距離保ってます😂 https://t.co/74m222m9aR",ママがコロナ対策だって 空気清浄機送ってくれた〜😭神✨  みるくは機械が怖くて一定の距離保ってます😂 ,2020-09-14 06:03:00+00:00,398.0,7.0,7747.0,1447.0,0.1867819801213373,0.0,106.0,2.0,0.0,131.0,0,803,803,True,False,51,20200914,2020,9,14,6,0,38
@xtrSy2CC5y4flrZ 手を貸してくれたら最高ですね😂, 手を貸してくれたら最高ですね😂,2020-09-14 04:09:00+00:00,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,16,20200914,2020,9,14,4,0,38
@AP73mTFPfDtI0lX 守ってくれてます☺️, 守ってくれてます☺️,2020-09-14 04:09:00+00:00,1.0,0.0,40.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,11,20200914,2020,9,14,4,0,38
@fIKMPnzFTDb3apk 可愛い〜😍, 可愛い〜😍,2020-09-14 04:08:00+00:00,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,6,20200914,2020,9,14,4,0,38
@itsumo_channel 見守り隊🥰, 見守り隊🥰,2020-09-14 04:08:00+00:00,1.0,0.0,51.0,1.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,6,20200914,2020,9,14,4,0,38
ベランダで洗濯物干してたら何か視線を感じると思いました。 https://t.co/eKZYBdZHOu,ベランダで洗濯物干してたら何か視線を感じると思いました。 ,2020-09-13 03:26:00+00:00,519.0,3.0,23831.0,5200.0,0.2182031807309806,6.0,130.0,21.0,0.0,299.0,0,4222,4222,True,False,29,20200913,2020,9,13,3,6,37
ちゃんと映像に残ろうとするみるくっち🐶 https://t.co/bHKbUPNxMF,ちゃんと映像に残ろうとするみるくっち🐶 ,2020-09-12 10:29:00+00:00,393.0,5.0,3726.0,635.0,0.1704240472356414,0.0,39.0,0.0,0.0,92.0,0,962,106,True,False,20,20200912,2020,9,12,10,5,37
おかえり！🐶 https://t.co/qwM1nwAuSB,おかえり🐶 ,2020-09-11 12:05:00+00:00,675.0,15.0,7556.0,1221.0,0.1615934356802541,4.0,114.0,1.0,0.0,152.0,0,2079,260,True,False,6,20200911,2020,9,11,12,4,37
夜の浜辺に来ました☽･:* https://t.co/wrCl66hHjM,夜の浜辺に来ました☽･ ,2020-09-10 16:11:00+00:00,418.0,7.0,5508.0,851.0,0.1545025417574437,0.0,99.0,1.0,0.0,143.0,0,1435,183,True,False,12,20200910,2020,9,10,16,3,37
#新しいプロフィール画像 https://t.co/7sIaCOlAZU,新しいプロフィール画像 ,2020-09-10 03:13:00+00:00,354.0,7.0,3804.0,557.0,0.1464248159831756,2.0,72.0,0.0,2.0,38.0,0,82,82,True,False,12,20200910,2020,9,10,3,3,37
@itoko_inu 困っちゃってますね😂, 困っちゃってますね😂,2020-09-10 01:25:00+00:00,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,11,20200910,2020,9,10,1,3,37
"💩変なとこにして
怒られちゃってふてくされてます。 https://t.co/wYiuiWFP22",💩変なとこにして 怒られちゃってふてくされてます。 ,2020-09-10 01:13:00+00:00,357.0,5.0,4053.0,691.0,0.1704909943251912,0.0,45.0,1.0,0.0,65.0,0,218,218,True,False,26,20200910,2020,9,10,1,3,37
@itoko_inu 可愛いすぎ〜〜😍, 可愛いすぎ〜〜😍,2020-09-08 23:55:00+00:00,1.0,0.0,187.0,7.0,0.0374331550802139,1.0,4.0,0.0,0.0,1.0,0,0,0,False,True,9,20200908,2020,9,8,23,1,37
@Ryoko_0709 無事何も無くて本当によかったです😢, 無事何も無くて本当によかったです😢,2020-09-08 08:18:00+00:00,2.0,0.0,139.0,3.0,0.0215827338129496,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,18,20200908,2020,9,8,8,1,37
@gomaharunanamam そうですよね😂, そうですよね😂,2020-09-08 07:47:00+00:00,1.0,0.0,67.0,1.0,0.0149253731343283,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,8,20200908,2020,9,8,7,1,37
我が家はこうやってボールペンが壊れていくのです。 https://t.co/NznWbcZcEo,我が家はこうやってボールペンが壊れていくのです。 ,2020-09-08 07:28:00+00:00,548.0,12.0,8368.0,1154.0,0.137906309751434,2.0,57.0,6.0,0.0,247.0,0,2320,282,True,False,25,20200908,2020,9,8,7,1,37
@80yuzumama5580 飼い主の方が遊ばれちゃってるみたいです😂, 飼い主の方が遊ばれちゃってるみたいです😂,2020-09-08 07:18:00+00:00,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200908,2020,9,8,7,1,37
朝からトラップを仕掛けてくるみるく https://t.co/U4G8Kg3wH6,朝からトラップを仕掛けてくるみるく ,2020-09-07 23:57:00+00:00,436.0,7.0,6748.0,717.0,0.1062537048014226,2.0,67.0,1.0,0.0,87.0,0,1421,117,True,False,18,20200907,2020,9,7,23,0,37
私のお腹の上で相方噛んで寝ちゃいそうです😂 https://t.co/1ZYT1FnKye,私のお腹の上で相方噛んで寝ちゃいそうです😂 ,2020-09-05 05:58:00+00:00,538.0,8.0,7464.0,1061.0,0.1421489817792068,3.0,80.0,6.0,0.0,103.0,0,323,323,True,False,22,20200905,2020,9,5,5,5,36
@nagi_toypooodle いつもメロメロになってます🥰, いつもメロメロになってます🥰,2020-09-04 11:51:00+00:00,1.0,0.0,103.0,1.0,0.0097087378640776,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,15,20200904,2020,9,4,11,4,36
お出迎えしました🐶 https://t.co/cYVKKU2FMy,お出迎えしました🐶 ,2020-09-04 11:48:00+00:00,626.0,11.0,8377.0,1368.0,0.1633042855437507,5.0,86.0,6.0,0.0,188.0,0,2107,446,True,False,10,20200904,2020,9,4,11,4,36
定番のわしゃわしゃタイムです☺️ https://t.co/aTy23a3pMp,定番のわしゃわしゃタイムです☺️ ,2020-09-03 08:21:00+00:00,356.0,8.0,3157.0,517.0,0.1637630662020905,0.0,30.0,2.0,0.0,41.0,0,746,80,True,False,17,20200903,2020,9,3,8,3,36
@mrtonnychan ありがとうございます😍, ありがとうございます😍,2020-09-03 06:05:00+00:00,2.0,0.0,33.0,3.0,0.0909090909090909,0.0,0.0,0.0,0.0,1.0,0,0,0,False,True,12,20200903,2020,9,3,6,3,36
よいしょよいしょよいしょよいしょ https://t.co/lUDDqQ0397,よいしょよいしょよいしょよいしょ ,2020-09-03 02:03:00+00:00,544.0,8.0,6382.0,870.0,0.1363209025383892,1.0,51.0,2.0,0.0,111.0,0,1526,153,True,False,17,20200903,2020,9,3,2,3,36
@anemome7 ほんと、元気になる魔法の言葉みたいです😌, ほんと、元気になる魔法の言葉みたいです😌,2020-09-03 01:22:00+00:00,1.0,0.0,40.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,21,20200903,2020,9,3,1,3,36
@oGkMXCCZN37dNMI 的な感じですね🤣, 的な感じですね🤣,2020-09-03 01:22:00+00:00,1.0,0.0,43.0,1.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,9,20200903,2020,9,3,1,3,36
@hitomin_rabi 一緒ですね😍, 一緒ですね😍,2020-09-03 01:22:00+00:00,1.0,0.0,42.0,1.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,7,20200903,2020,9,3,1,3,36
アチョー🐶 https://t.co/nj4AfuZjr1,アチョー🐶 ,2020-09-02 17:12:00+00:00,540.0,10.0,6952.0,910.0,0.130897583429229,4.0,56.0,3.0,0.0,115.0,0,1638,182,True,False,6,20200902,2020,9,2,17,2,36
外に行きたそうだったので、例の言葉を言ったらこうなった🐶 https://t.co/NmnpQpmtPj,外に行きたそうだったので、例の言葉を言ったらこうなった🐶 ,2020-09-01 22:49:00+00:00,665.0,16.0,11916.0,1895.0,0.1590298757972474,4.0,127.0,8.0,0.0,337.0,0,2969,738,True,False,29,20200901,2020,9,1,22,1,36
#新しいプロフィール画像 https://t.co/j5m3TJHaqK,新しいプロフィール画像 ,2020-09-01 14:17:00+00:00,250.0,7.0,3232.0,695.0,0.2150371287128712,0.0,36.0,0.0,1.0,25.0,0,376,376,True,False,12,20200901,2020,9,1,14,1,36
ノーモーションがうまくなってきました🐶 https://t.co/5oNqlkHyn9,ノーモーションがうまくなってきました🐶 ,2020-09-01 12:23:00+00:00,391.0,9.0,4246.0,611.0,0.1439001413094677,0.0,44.0,2.0,0.0,80.0,0,1017,85,True,False,20,20200901,2020,9,1,12,1,36
だるまさんが転んだ https://t.co/fpjOFmVUCm,だるまさんが転んだ ,2020-08-31 07:17:00+00:00,599.0,9.0,7964.0,1074.0,0.1348568558513309,2.0,69.0,1.0,0.0,126.0,0,2128,268,True,False,10,20200831,2020,8,31,7,0,36
https://t.co/wgLD3BrLwO,,2020-08-31 02:07:00+00:00,375.0,2.0,4196.0,544.0,0.1296472831267874,0.0,50.0,0.0,0.0,49.0,0,956,68,True,False,0,20200831,2020,8,31,2,0,36
エンドレスかまちょ犬🐶 https://t.co/9uvjG87Ibk,エンドレスかまちょ犬🐶 ,2020-08-30 05:02:00+00:00,383.0,7.0,4206.0,615.0,0.1462196861626248,2.0,60.0,0.0,0.0,72.0,0,991,91,True,False,12,20200830,2020,8,30,5,6,35
もうすぐ飼い主が帰ってくる雰囲気を察してソワソワしだすみるく🐶 https://t.co/tk3caOeXjR,もうすぐ飼い主が帰ってくる雰囲気を察してソワソワしだすみるく🐶 ,2020-08-29 23:42:00+00:00,477.0,13.0,7013.0,797.0,0.1136460858405817,2.0,60.0,3.0,0.0,54.0,0,1433,188,True,False,32,20200829,2020,8,29,23,5,35
散歩行こっかって言ってからしばらく動かないでみた https://t.co/K5NhwVrJE1,散歩行こっかって言ってからしばらく動かないでみた ,2020-08-28 20:46:00+00:00,400.0,11.0,5921.0,767.0,0.1295389292349265,2.0,52.0,1.0,0.0,111.0,0,1331,190,True,False,25,20200828,2020,8,28,20,4,35
"TikTokもしてます⤵︎⤵︎⤵︎⤵︎⤵︎⤵︎⤵︎
milk_toypoodle https://t.co/SMVywsrRKu",もしてます⤵︎⤵︎⤵︎⤵︎⤵︎⤵︎⤵︎  ,2020-08-28 19:03:00+00:00,192.0,2.0,2833.0,338.0,0.1193081539004588,1.0,35.0,0.0,0.0,40.0,0,589,68,True,False,21,20200828,2020,8,28,19,4,35
"@goemon12250329 本当ですね!!
凄い偶然😳
力強い吠え方です😍", 本当ですね 凄い偶然😳 力強い吠え方です😍,2020-08-27 14:14:00+00:00,2.0,0.0,40.0,3.0,0.075,0.0,0.0,0.0,0.0,1.0,0,0,0,False,True,22,20200827,2020,8,27,14,3,35
"みるくの平日ナイトルーティン https://t.co/fcWEpzgAXg @YouTubeより 
久しぶりの投稿です♪
是非遊びに来てくださ",みるくの平日ナイトルーティン  より  久しぶりの投稿です♪ 是非遊びに来てくださ,2020-08-27 12:41:00+00:00,10.0,1.0,707.0,23.0,0.0325318246110325,0.0,6.0,4.0,0.0,2.0,0,0,0,True,True,41,20200827,2020,8,27,12,3,35
@pinoyama8411 可愛すぎます😂, 可愛すぎます😂,2020-08-27 12:24:00+00:00,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,8,20200827,2020,8,27,12,3,35
@63SW9LLccV2iNhz 守ってくれてるのであれば嬉しいですね😍, 守ってくれてるのであれば嬉しいですね😍,2020-08-27 12:23:00+00:00,1.0,0.0,19.0,1.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,20,20200827,2020,8,27,12,3,35
@dogparfait ありがとうございます🥰, ありがとうございます🥰,2020-08-27 12:23:00+00:00,1.0,0.0,36.0,1.0,0.0277777777777777,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200827,2020,8,27,12,3,35
"@MeMe13BeLL めちゃくちゃ触り心地いいです🥰
ありがとうございます💞", めちゃくちゃ触り心地いいです🥰 ありがとうございます💞,2020-08-27 12:23:00+00:00,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,28,20200827,2020,8,27,12,3,35
大好きお布団と戦うよ🤩 https://t.co/EjJTaVghRG,大好きお布団と戦うよ🤩 ,2020-08-27 12:23:00+00:00,229.0,0.0,2147.0,364.0,0.1695388914764788,1.0,28.0,0.0,0.0,53.0,0,565,53,True,False,12,20200827,2020,8,27,12,3,35
@pooh715maru217 ありがとうございます😍, ありがとうございます😍,2020-08-27 12:23:00+00:00,1.0,0.0,42.0,1.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200827,2020,8,27,12,3,35
やっぱりここが好き https://t.co/KNm0DXJwYi,やっぱりここが好き ,2020-08-26 16:41:00+00:00,715.0,22.0,10589.0,1491.0,0.1408064973085277,1.0,104.0,5.0,0.0,186.0,0,2094,458,True,False,10,20200826,2020,8,26,16,2,35
@pinoyama8411 ありがとうございます🥰, ありがとうございます🥰,2020-08-26 04:38:00+00:00,1.0,0.0,117.0,2.0,0.017094017094017,1.0,0.0,0.0,0.0,0.0,0,0,0,False,True,12,20200826,2020,8,26,4,2,35
"@AP73mTFPfDtI0lX 愛してくれてるのかな？
舐められてるような気もします😂", 愛してくれてるのかな 舐められてるような気もします😂,2020-08-26 04:37:00+00:00,1.0,0.0,48.0,1.0,0.0208333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,False,True,27,20200826,2020,8,26,4,2,35
