"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1275731274955730944","https://twitter.com/haruchannna/status/1275731274955730944","みるくのお洋服とキャップ、調達しました😊
めっちゃ似合ってる！笑

#犬好きさんと繋がりたい https://t.co/Rjcg3e4DWC","2020-06-24 10:03 +0000","3264.0","483.0","0.1479779411764706","6.0","3.0","219.0","55.0","1.0","2.0","30.0","0.0","0","0","0","0","0","167","167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1274265595245064193","https://twitter.com/haruchannna/status/1274265595245064193","ね…ねむたいなぁZzz… _(*´﹃｀*_    )_
#犬好きさんと繋がりたい https://t.co/ztfTxIE7Np","2020-06-20 08:59 +0000","2371.0","329.0","0.13876001687051878","4.0","0.0","185.0","31.0","0.0","1.0","39.0","0.0","0","0","0","0","0","699","69","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1273977255081869314","https://twitter.com/haruchannna/status/1273977255081869314","おばあに強引に洗われるぼく🐶
シャンプーは嫌いだあ。
#犬好きさんと繋がりたい https://t.co/iOUuDitjrK","2020-06-19 13:53 +0000","4733.0","666.0","0.14071413479822523","10.0","0.0","287.0","90.0","7.0","2.0","103.0","0.0","0","0","0","0","0","1429","167","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1273200710163693568","https://twitter.com/haruchannna/status/1273200710163693568","こんばんは🐶
今日と明日はお仕事の為、キャス配信はおやすみします🥺
また次回遊びに来てください💞","2020-06-17 10:27 +0000","910.0","63.0","0.06923076923076923","0.0","1.0","27.0","24.0","0.0","0.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272846482396205058","https://twitter.com/haruchannna/status/1272846482396205058","モイ！iPhoneからキャス配信中 -今日は30分だけします！🐶 https://t.co/pxmlsuSCCA","2020-06-16 11:00 +0000","620.0","40.0","0.06451612903225806","0.0","0.0","20.0","3.0","13.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272493402773323778","https://twitter.com/haruchannna/status/1272493402773323778","モイ！iPhoneからキャス配信中 -すいません｡ﾟ( ﾟஇωஇﾟ)ﾟ｡ https://t.co/8eH5RVQner","2020-06-15 11:37 +0000","652.0","30.0","0.046012269938650305","1.0","0.0","14.0","4.0","10.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272484141930405890","https://twitter.com/haruchannna/status/1272484141930405890","モイ！iPhoneからキャス配信中 -自宅居酒屋配信 https://t.co/DgQpf4ycul","2020-06-15 11:00 +0000","575.0","16.0","0.02782608695652174","0.0","0.0","10.0","0.0","5.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272465447661613056","https://twitter.com/haruchannna/status/1272465447661613056","本日も20時よりツイキャス配信します🥰
今日、はみるく飼い主居酒屋パーリナイをテーマに好きなものを食べながら雑談配信します🤤🤤
もちろんみるくも💞
是非遊びに来てください😊","2020-06-15 09:46 +0000","617.0","20.0","0.03241491085899514","0.0","0.0","17.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272439630361530369","https://twitter.com/haruchannna/status/1272439630361530369","モイ！iPhoneからキャス配信中 -ポテサラ作り🤤 https://t.co/JB5vvEaAXW","2020-06-15 08:03 +0000","502.0","18.0","0.035856573705179286","0.0","0.0","6.0","3.0","8.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272144645980479489","https://twitter.com/haruchannna/status/1272144645980479489","今日も、ツイキャスに来てくれたみんなありがとうございました💞
たくさん動いて僕は疲れました🥺
また明日も来てね🥰🥰
#ツイキャス #犬好きさんと繋がりたい https://t.co/zL9zRHkjiu","2020-06-14 12:31 +0000","2070.0","207.0","0.1","1.0","1.0","115.0","34.0","0.0","1.0","5.0","0.0","0","0","0","0","0","50","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272129581026168834","https://twitter.com/haruchannna/status/1272129581026168834","モイ！iPhoneからキャス配信中 -みるくと歌います https://t.co/tQObuC8gW4","2020-06-14 11:31 +0000","537.0","34.0","0.0633147113594041","0.0","0.0","18.0","6.0","9.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272122002652856322","https://twitter.com/haruchannna/status/1272122002652856322","モイ！iPhoneからキャス配信中 -みるくと弾き語り https://t.co/41ChR6Xxdn","2020-06-14 11:01 +0000","529.0","35.0","0.0661625708884688","0.0","0.0","14.0","12.0","9.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1272021937342959616","https://twitter.com/haruchannna/status/1272021937342959616","本日20時よりツイキャス配信します☺️
よかったら遊びに来てください💞
#犬好きさんと繋がりたい","2020-06-14 04:23 +0000","623.0","31.0","0.04975922953451043","1.0","0.0","9.0","15.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
