"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1255968871200092160","https://twitter.com/haruchannna/status/1255968871200092160","@ks361225 こちらこそよろしくお願い致します🥰","2020-04-30 21:14 +0000","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1255810001894912000","https://twitter.com/haruchannna/status/1255810001894912000","ちょっと手伝ってあげると降りられるんですけどね😅
#犬好きさんと繋がりたい https://t.co/AmmvCgzbha","2020-04-30 10:43 +0000","3608.0","502.0","0.13913525498891352","5.0","2.0","266.0","89.0","1.0","2.0","40.0","0.0","0","0","0","0","0","1154","97","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1255289613448622080","https://twitter.com/haruchannna/status/1255289613448622080","シュール…笑🐶

#犬好きさんと繋がりたい https://t.co/qRLRfj83X1","2020-04-29 00:15 +0000","1607.0","254.0","0.15805849408836342","1.0","0.0","152.0","15.0","1.0","3.0","9.0","0.0","0","0","0","0","0","462","73","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1254802200934486017","https://twitter.com/haruchannna/status/1254802200934486017","ペット2を真剣に見るみるく🐶
#犬好きさんと繋がりたい https://t.co/hR2cA0rSp2","2020-04-27 15:58 +0000","2530.0","287.0","0.11343873517786561","2.0","1.0","128.0","43.0","0.0","0.0","19.0","0.0","0","0","0","0","0","697","94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1254600066695716864","https://twitter.com/haruchannna/status/1254600066695716864","@chiwafuwamomo 恋人なんです😌💞","2020-04-27 02:35 +0000","71.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1254599967047421953","https://twitter.com/haruchannna/status/1254599967047421953","@hitomin_rabi 可愛いです💞🤣","2020-04-27 02:35 +0000","75.0","1.0","0.013333333333333334","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1254054479889981442","https://twitter.com/haruchannna/status/1254054479889981442","毛布が恋人💓
#犬好きさんと繋がりたい https://t.co/sAMLKFEcDi","2020-04-25 14:27 +0000","4940.0","488.0","0.09878542510121457","3.0","1.0","300.0","64.0","0.0","3.0","33.0","0.0","0","0","0","0","0","1021","84","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1253894272769650694","https://twitter.com/haruchannna/status/1253894272769650694","なんの音だろう？🐶

#犬好きさんと繋がりたい https://t.co/mkUrjOUR0D","2020-04-25 03:51 +0000","2497.0","349.0","0.13976772126551862","1.0","1.0","203.0","47.0","0.0","0.0","22.0","0.0","0","0","0","0","0","542","75","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1253617689882329089","https://twitter.com/haruchannna/status/1253617689882329089","夕陽に照らされ神々しいみるく様🌇
#犬好きさんと繋がりたい https://t.co/dEr8PKDc2f","2020-04-24 09:32 +0000","4006.0","425.0","0.10609086370444333","4.0","0.0","234.0","46.0","0.0","3.0","22.0","0.0","0","0","0","0","0","920","116","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1253228792870363136","https://twitter.com/haruchannna/status/1253228792870363136","@perochi0303 爆発しちゃってます🤣🤣","2020-04-23 07:46 +0000","126.0","1.0","0.007936507936507936","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
