"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1310534104576737281","https://twitter.com/haruchannna/status/1310534104576737281","ワニみたい🐊 https://t.co/PhXjnFyRln","2020-09-28 10:57 +0000","6991.0","781.0","0.11171506222285796","4.0","0.0","462.0","53.0","5.0","0.0","123.0","0.0","0","0","0","0","0","1557","134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1310135616584273920","https://twitter.com/haruchannna/status/1310135616584273920","@milk_pudol この後飼い主は目が回ってました🤣","2020-09-27 08:34 +0000","30.0","1.0","0.03333333333333333","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1310038779067940864","https://twitter.com/haruchannna/status/1310038779067940864","エンドレスくるくる回転🤩 https://t.co/HX1b8rj5Wf","2020-09-27 02:09 +0000","2735.0","469.0","0.17148080438756855","4.0","1.0","303.0","42.0","0.0","0.0","36.0","0.0","0","0","0","0","0","897","83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309867668799848449","https://twitter.com/haruchannna/status/1309867668799848449","@1999Sleeper 了解しました👐
少々お待ち下さい🤩","2020-09-26 14:49 +0000","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309823704709304320","https://twitter.com/haruchannna/status/1309823704709304320","@shintanmomotan お分かりいただける方がいて嬉しいです😍
ありがとうございます💞","2020-09-26 11:54 +0000","15.0","1.0","0.06666666666666667","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309823628037423104","https://twitter.com/haruchannna/status/1309823628037423104","@AP73mTFPfDtI0lX ほんと、ウインクですね💞","2020-09-26 11:54 +0000","17.0","1.0","0.058823529411764705","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309823571661742081","https://twitter.com/haruchannna/status/1309823571661742081","@usagi_lovechan2 ありがとうございます😍
よろしくお願いいたします💞","2020-09-26 11:54 +0000","35.0","4.0","0.11428571428571428","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309823537524297728","https://twitter.com/haruchannna/status/1309823537524297728","@ChachacoR ありがとうございます😍
これから仲良くして頂けたら嬉しいです💞
よろしくお願いいたします☺️","2020-09-26 11:54 +0000","43.0","3.0","0.06976744186046512","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309807276136435712","https://twitter.com/haruchannna/status/1309807276136435712","@shintanmomotan ありがとうございます😊","2020-09-26 10:49 +0000","49.0","1.0","0.02040816326530612","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309807194267762691","https://twitter.com/haruchannna/status/1309807194267762691","@1999Sleeper 🐶終わり良ければ全てよしがモットーだわん","2020-09-26 10:49 +0000","56.0","2.0","0.03571428571428571","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309782774908297216","https://twitter.com/haruchannna/status/1309782774908297216","🐶ドレミの歌弾いてみました https://t.co/figgIwfYnL","2020-09-26 09:12 +0000","7841.0","970.0","0.12370871062364494","18.0","2.0","472.0","68.0","1.0","0.0","141.0","0.0","0","0","0","0","0","1735","268","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1309079194144591874","https://twitter.com/haruchannna/status/1309079194144591874","片目だけチラッ https://t.co/Ys8FIR4NFg","2020-09-24 10:36 +0000","4464.0","556.0","0.12455197132616487","5.0","4.0","385.0","56.0","7.0","0.0","33.0","0.0","0","0","0","0","0","66","66","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308741231472644096","https://twitter.com/haruchannna/status/1308741231472644096","@4Kj5RgyprZUzL6T 寝てそうで目は開いてました😂
画像ありがとうございます!!😍
可愛いです🥺💞
めちゃくちゃ嬉しいです🥺","2020-09-23 12:13 +0000","29.0","4.0","0.13793103448275862","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308579528961216512","https://twitter.com/haruchannna/status/1308579528961216512","不動な監督さん👐 https://t.co/3LglZDYNLj","2020-09-23 01:30 +0000","3539.0","539.0","0.1523029104266742","4.0","1.0","272.0","25.0","1.0","0.0","47.0","0.0","0","0","0","0","0","917","189","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308578138339774465","https://twitter.com/haruchannna/status/1308578138339774465","@coco20170416 大変ですけど可愛くて相手しちゃうんですよね😂","2020-09-23 01:25 +0000","31.0","2.0","0.06451612903225806","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308282471700598786","https://twitter.com/haruchannna/status/1308282471700598786","@1999Sleeper 面白くて永遠に鑑賞してます🤣
Netflixで観れるのでおすすめです😊","2020-09-22 05:50 +0000","92.0","4.0","0.043478260869565216","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308271861638115328","https://twitter.com/haruchannna/status/1308271861638115328","@1999Sleeper 声優さんは分かりませんが、
宇宙兄弟です😊","2020-09-22 05:08 +0000","41.0","4.0","0.0975609756097561","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308245044445364225","https://twitter.com/haruchannna/status/1308245044445364225","@1999Sleeper お経🤣🤣
アニメを流していたその音ですね!","2020-09-22 03:21 +0000","76.0","2.0","0.02631578947368421","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1308227637806919680","https://twitter.com/haruchannna/status/1308227637806919680","お昼寝しようかなぁ〜 https://t.co/frWpDVD65j","2020-09-22 02:12 +0000","11591.0","1136.0","0.098007074454318","12.0","2.0","725.0","109.0","4.0","0.0","150.0","0.0","0","0","0","0","0","2259","134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1307890122877145088","https://twitter.com/haruchannna/status/1307890122877145088","ISLAND長崎に行った時の動画を編集したいのに無くなっちゃった〜😭
僕の動画どこいっちゃったのよー😣 https://t.co/IXPWVoQiIN","2020-09-21 03:51 +0000","7754.0","733.0","0.0945318545266959","8.0","0.0","480.0","68.0","2.0","0.0","92.0","0.0","0","0","0","0","0","1576","83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1307667129097830400","https://twitter.com/haruchannna/status/1307667129097830400","@1999Sleeper @YouTube ご視聴ありがとうございます🥰
お試しサイズ出して欲しいですね💞","2020-09-20 13:05 +0000","30.0","2.0","0.06666666666666667","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1307633046825218048","https://twitter.com/haruchannna/status/1307633046825218048","ブッチをトイプードルに食べさせてみた食レポupしました！参考になれば幸いです☺️https://t.co/XKfoLhrwOR @YouTubeより","2020-09-20 10:49 +0000","686.0","40.0","0.05830903790087463","0.0","1.0","16.0","7.0","3.0","0.0","9.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1307330025977311232","https://twitter.com/haruchannna/status/1307330025977311232","@1999Sleeper 初回は3本セット3000円でした!
明日、YouTubeで動画upするので
ぜひ参考にしてみてください💞🥰","2020-09-19 14:45 +0000","16.0","1.0","0.0625","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1306946847865356288","https://twitter.com/haruchannna/status/1306946847865356288","犬の気持ちによると、ワンちゃんのストレスランキング1位は散歩不足、2位が飼い主が不機嫌なこと、3位はマズル（口周り）をつかまれて叱られることらしいです。最近歯磨きをするときにマズルを掴んでいたので、気をつけないとな〜。でも歯磨きにすごい抵抗するからどうしたら良いんだろう😂 https://t.co/5i4l8i6oag","2020-09-18 13:23 +0000","1419.0","212.0","0.14940098661028894","0.0","0.0","76.0","16.0","0.0","0.0","25.0","0.0","0","0","0","0","0","95","95","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1306874366257295360","https://twitter.com/haruchannna/status/1306874366257295360","構ってビームが強すぎた🤩 https://t.co/Wi6avV2PXa","2020-09-18 08:35 +0000","7291.0","908.0","0.12453710053490605","13.0","3.0","546.0","77.0","4.0","0.0","89.0","0.0","0","0","0","0","0","1812","176","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1306829426412236802","https://twitter.com/haruchannna/status/1306829426412236802","@Tidus_yuuna お待ちください💞","2020-09-18 05:36 +0000","22.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
