"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-10-01","8","10086","1372","0.13603014078921277","14","7","647","141","8","0","394","0","0","0","0","0","0","2119","161","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-02","4","6624","748","0.11292270531400966","8","6","454","56","0","0","104","0","0","0","0","0","0","1452","120","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-03","4","10004","1237","0.12365053978408637","27","9","752","85","2","0","147","0","0","0","0","0","0","2480","215","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-04","2","6606","780","0.11807447774750227","9","3","490","68","1","0","73","0","0","0","0","0","0","1371","136","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-05","1","3063","425","0.13875285667646098","5","1","270","24","0","0","38","0","0","0","0","0","0","673","87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-06","2","3760","407","0.10824468085106383","5","0","186","35","19","0","33","0","0","0","0","0","0","633","129","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-07","0","398","35","0.08793969849246232","0","0","17","1","1","0","1","0","0","0","0","0","0","60","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-08","2","5199","786","0.15118291979226775","15","0","497","74","1","0","87","0","0","0","0","0","0","1032","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-09","2","2760","190","0.06884057971014493","2","3","112","15","0","0","26","0","0","0","0","0","0","405","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-10","20","34596","7556","0.21840675222569084","43","26","1789","684","27","0","1195","0","0","0","0","0","0","5079","3792","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-11","11","44159","8805","0.19939310219887227","40","11","1055","864","46","1","1803","0","0","0","0","0","0","6159","4985","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-12","1","7009","965","0.1376801255528606","5","2","352","88","11","0","183","0","0","0","0","0","0","1172","324","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-13","0","1156","104","0.08996539792387544","0","0","25","6","1","2","23","0","0","0","0","0","0","162","47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-14","0","682","64","0.093841642228739","0","0","13","4","0","0","11","0","0","0","0","0","0","66","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-15","0","583","44","0.07547169811320754","0","1","8","4","0","0","10","0","0","0","0","0","0","46","21","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-16","1","625","103","0.1648","0","3","43","5","0","0","17","0","0","0","0","0","0","75","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-17","1","544","50","0.09191176470588236","0","2","10","3","0","1","4","0","0","0","0","0","0","71","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-18","1","435","29","0.06666666666666667","1","0","5","3","0","0","5","0","0","0","0","0","0","44","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-19","4","8158","1400","0.17161068889433684","24","16","796","139","12","0","177","0","0","0","0","0","0","2136","236","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-20","1","16014","1898","0.11852129386786561","42","3","887","135","12","23","313","0","0","0","0","0","0","3550","483","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-21","2","4139","736","0.17782072964484175","5","2","489","71","3","0","66","0","0","0","0","0","0","926","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-22","0","906","111","0.12251655629139073","1","1","57","10","0","0","8","0","0","0","0","0","0","168","34","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
