"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-06-01","0","808","48","0.0594059405940594","2","0","11","0","1","0","3","0","0","0","0","0","0","104","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-02","0","451","55","0.12195121951219512","0","0","7","2","0","0","3","0","0","0","0","0","0","131","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-03","0","903","25","0.02768549280177187","0","0","6","2","0","0","0","0","0","0","0","0","0","80","17","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-04","0","342","13","0.038011695906432746","0","0","2","0","0","0","2","0","0","0","0","0","0","38","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-05","2","3862","610","0.1579492490937338","8","1","377","82","1","4","25","0","0","0","0","0","0","420","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-06","1","3025","333","0.11008264462809918","1","1","162","27","1","0","65","0","0","0","0","0","0","578","76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-07","0","855","58","0.06783625730994151","0","0","24","0","2","1","9","0","0","0","0","0","0","114","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-08","0","755","42","0.05562913907284768","0","0","12","2","0","1","1","0","0","0","0","0","0","59","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-09","0","796","26","0.032663316582914576","1","0","6","3","2","0","2","0","0","0","0","0","0","53","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-10","0","471","10","0.021231422505307854","0","0","3","0","0","0","0","0","0","0","0","0","0","28","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-11","0","421","27","0.06413301662707839","1","0","4","5","1","0","0","0","0","0","0","0","0","49","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-12","0","196","8","0.04081632653061224","0","0","1","0","0","0","0","0","0","0","0","0","0","18","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-13","28","6284","885","0.1408338637810312","9","22","286","238","65","1","158","0","0","0","0","0","0","352","71","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-14","4","12063","1767","0.14648097488187017","38","2","718","168","30","2","230","0","0","0","0","0","0","3112","578","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-15","4","2437","201","0.08247845711940911","3","0","80","27","16","0","27","0","0","0","0","0","0","186","48","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-16","1","880","78","0.08863636363636364","0","0","38","5","9","0","14","0","0","0","0","0","0","44","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-17","1","1183","78","0.06593406593406594","0","1","32","24","3","0","10","0","0","0","0","0","0","21","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-18","0","504","17","0.03373015873015873","0","0","5","2","0","0","2","0","0","0","0","0","0","21","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-19","1","1982","363","0.18314833501513622","6","0","167","63","6","0","56","0","0","0","0","0","0","578","65","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-20","1","4368","521","0.11927655677655678","8","0","268","56","7","1","70","0","0","0","0","0","0","1121","111","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-21","0","763","60","0.07863695937090433","1","0","21","3","0","1","10","0","0","0","0","0","0","160","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-22","0","356","17","0.047752808988764044","1","0","8","2","0","0","3","0","0","0","0","0","0","30","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-23","0","206","9","0.043689320388349516","0","0","3","0","1","0","2","0","0","0","0","0","0","22","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-24","1","2021","355","0.1756556160316675","3","2","170","47","0","0","25","0","0","0","0","0","0","139","108","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-25","0","607","56","0.09225700164744646","2","0","23","6","0","0","3","0","0","0","0","0","0","32","22","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-26","0","281","16","0.05693950177935943","0","0","5","1","1","0","0","0","0","0","0","0","0","30","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-27","0","308","25","0.08116883116883117","1","0","12","1","0","1","0","0","0","0","0","0","0","45","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-28","0","322","16","0.049689440993788817","0","0","4","1","0","0","0","0","0","0","0","0","0","20","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-29","0","244","29","0.11885245901639344","0","1","12","4","0","1","2","0","0","0","0","0","0","27","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-06-30","0","235","18","0.07659574468085106","1","0","7","0","0","0","0","0","0","0","0","0","0","23","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
