"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-09-01","0","7800","1128","0.14461538461538462","10","2","619","89","1","1","113","0","0","0","0","0","0","1388","293","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-02","1","15748","2348","0.1490982981965964","19","3","931","140","8","0","362","0","0","0","0","0","0","3405","885","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-03","6","14097","1972","0.13988791941547848","21","4","1202","113","6","0","243","0","0","0","0","0","0","3312","383","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-04","2","5448","984","0.18061674008810572","10","4","535","71","3","0","97","0","0","0","0","0","0","1479","264","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-05","1","9603","1404","0.14620431115276475","12","4","657","86","11","1","171","0","0","0","0","0","0","1190","462","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-06","0","2936","222","0.07561307901907358","2","1","92","15","0","0","36","0","0","0","0","0","0","167","76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-07","1","1391","62","0.04457225017972682","0","0","16","0","1","0","2","0","0","0","0","0","0","123","43","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-08","5","12586","1593","0.126569203877324","14","4","901","116","4","0","234","0","0","0","0","0","0","3102","320","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-09","0","2785","253","0.09084380610412926","2","1","90","12","2","0","89","0","0","0","0","0","0","494","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-10","4","9042","1485","0.16423357664233576","16","2","879","148","2","2","117","0","0","0","0","0","0","738","319","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-11","1","9945","1637","0.16460532931121166","25","5","814","149","2","0","235","0","0","0","0","0","0","2625","407","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-12","1","5067","815","0.16084468127096901","7","1","469","66","0","0","109","0","0","0","0","0","0","1245","163","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-13","1","6547","1459","0.22285016037879946","4","3","498","69","6","0","128","0","0","0","0","0","0","1099","751","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-14","6","26696","5415","0.20283937668564578","8","4","703","204","15","0","348","0","0","0","0","0","0","4388","4133","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-15","0","6404","898","0.14022485946283572","4","2","311","55","4","0","65","0","0","0","0","0","0","579","457","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-16","0","1107","64","0.057813911472448055","0","1","25","0","0","0","5","0","0","0","0","0","0","60","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-17","5","7513","781","0.10395314787701318","9","4","393","76","1","0","80","0","0","0","0","0","0","235","218","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-18","6","7786","980","0.12586694066272797","11","3","547","85","3","0","111","0","0","0","0","0","0","1571","220","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-19","1","2155","195","0.09048723897911833","2","1","100","10","1","0","13","0","0","0","0","0","0","299","68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-20","2","987","95","0.09625126646403243","0","2","28","9","2","0","14","0","0","0","0","0","0","108","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-21","1","7408","756","0.10205183585313175","8","0","481","70","2","0","80","0","0","0","0","0","0","1472","115","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-22","4","10889","1187","0.1090090917439618","11","6","728","110","4","0","149","0","0","0","0","0","0","2231","179","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-23","3","4958","592","0.11940298507462686","5","3","307","27","1","0","51","0","0","0","0","0","0","1059","198","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-24","1","3124","456","0.14596670934699105","5","2","310","43","3","0","36","0","0","0","0","0","0","174","57","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-25","0","1768","166","0.09389140271493213","0","1","94","13","2","0","6","0","0","0","0","0","0","76","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-26","8","6060","812","0.13399339933993398","18","5","413","61","0","0","106","0","0","0","0","0","0","1312","209","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-27","2","4816","625","0.12977574750830564","5","1","354","47","3","0","69","0","0","0","0","0","0","1191","146","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-28","1","3938","559","0.14195022854240733","3","0","360","42","3","0","74","0","0","0","0","0","0","1058","77","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
