"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-08-01","0","10840","1057","0.09750922509225092","20","5","578","101","2","0","131","0","0","0","0","0","0","2294","220","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-02","4","8502","1362","0.16019760056457305","9","3","743","150","4","0","154","0","0","0","1","0","0","1141","298","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-03","0","5604","604","0.10778015703069237","4","1","382","50","0","0","60","0","0","0","0","0","0","1125","107","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-04","1","4200","461","0.10976190476190475","4","0","290","50","0","0","39","0","0","0","0","0","0","845","78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-05","1","9093","1056","0.116133289343451","22","2","564","103","4","11","109","0","0","0","0","0","0","2068","241","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-06","2","6604","936","0.14173228346456693","10","6","584","85","2","0","98","0","0","0","0","0","0","1958","151","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-07","0","11747","1221","0.10394143185494169","18","4","707","80","5","2","151","0","0","0","0","0","0","3332","254","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-08","3","15452","1887","0.12212011390111313","22","4","1139","146","6","0","223","0","0","0","0","0","0","3763","347","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-09","0","2734","236","0.08632040965618142","1","0","103","4","1","0","44","0","0","0","0","0","0","529","83","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-10","1","4053","628","0.154946952874414","6","3","394","49","0","0","64","0","0","0","0","0","0","1115","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-11","3","10796","1300","0.12041496850685439","16","2","812","121","6","0","134","0","0","0","0","0","0","2516","209","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-12","3","13409","1545","0.11522112014318742","19","7","772","104","3","0","138","0","0","0","0","0","0","1475","502","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-13","2","26128","3079","0.1178429271279853","58","15","1722","199","15","0","435","0","0","0","0","0","0","6273","635","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-14","1","15316","1662","0.10851397231653173","17","1","755","116","11","0","235","0","0","0","0","0","0","3391","527","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-15","2","14292","2233","0.15624125384830675","18","6","992","169","3","0","256","0","0","0","0","0","0","3196","789","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-16","1","11384","1211","0.10637737174982431","15","1","725","77","2","0","119","0","0","0","0","0","0","2346","272","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-17","1","6641","959","0.14440596295738595","12","0","532","65","2","0","101","0","0","0","0","0","0","1655","247","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-18","5","9965","1460","0.14651279478173607","15","4","945","110","6","1","154","0","0","0","0","0","0","2197","225","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-19","3","25563","3282","0.12838868677385284","52","13","1877","217","7","0","429","0","0","0","0","0","0","6409","687","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-20","0","7051","692","0.09814210750248192","9","1","382","34","2","0","95","0","0","0","0","0","0","1503","169","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-21","3","12196","1597","0.13094457199081666","16","6","973","119","4","0","185","0","0","0","0","0","0","2749","294","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-22","2","7394","1218","0.1647281579659183","9","6","679","92","0","0","118","0","0","0","0","0","0","1333","314","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-23","23","7397","859","0.11612816006489117","4","8","490","73","1","0","132","0","0","0","0","0","0","1341","151","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-24","7","11468","1746","0.15224973840251133","17","8","953","138","7","0","234","0","0","0","0","0","0","3169","389","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-25","10","15278","2196","0.143736091111402","17","8","1208","181","5","0","292","0","0","0","0","0","0","3426","485","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-26","8","30109","3936","0.13072503238234415","63","13","1926","251","12","3","644","0","0","0","0","0","0","5807","1024","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-27","8","13483","1710","0.1268263739523845","18","3","817","122","7","0","246","0","0","0","0","0","0","2519","497","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-28","2","3786","517","0.13655573164289486","3","2","283","48","1","0","94","0","0","0","0","0","0","744","86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-29","1","7706","838","0.1087464313521931","14","2","399","56","1","0","136","0","0","0","0","0","0","1464","230","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-30","1","10623","1313","0.12359973642097336","16","2","812","112","4","0","116","0","0","0","0","0","0","2260","251","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-08-31","2","11793","1494","0.12668532180106842","13","2","938","126","2","0","140","0","0","0","0","0","0","2832","273","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
