"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1376905599867228163","https://twitter.com/haruchannna/status/1376905599867228163","@teatime3fairy こちらこそ宜しくお願いします😆","2021-03-30 14:34 +0000","17.0","1.0","0.058823529411764705","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1376805644515172354","https://twitter.com/haruchannna/status/1376805644515172354","ねむねむむむ🥱 https://t.co/Ggro68dOXM","2021-03-30 07:57 +0000","2722.0","334.0","0.12270389419544453","3.0","0.0","218.0","44.0","3.0","0.0","29.0","0.0","0","0","0","0","0","472","37","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1375056758255706115","https://twitter.com/haruchannna/status/1375056758255706115","こっちに来るかと思いきや
それちゃって💦
パニック映像になった😂😂 https://t.co/MDTBBDr30f","2021-03-25 12:07 +0000","1429.0","203.0","0.14205738278516444","0.0","0.0","108.0","17.0","4.0","0.0","10.0","0.0","0","0","0","0","0","402","64","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374917380795637764","https://twitter.com/haruchannna/status/1374917380795637764","@hitomin_rabi 頑張りました😊
この後いっぱいおやつあげました🍭","2021-03-25 02:53 +0000","40.0","2.0","0.05","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374917228714291206","https://twitter.com/haruchannna/status/1374917228714291206","@santemafi ありがとうございます😊
頑張りました😆","2021-03-25 02:53 +0000","38.0","1.0","0.02631578947368421","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374916807190933505","https://twitter.com/haruchannna/status/1374916807190933505","@xtrSy2CC5y4flrZ ありがとうございます😊
頑張りました😆","2021-03-25 02:51 +0000","27.0","1.0","0.037037037037037035","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374916643814481920","https://twitter.com/haruchannna/status/1374916643814481920","@pooh715maru217 今年1のインでした😅","2021-03-25 02:50 +0000","38.0","1.0","0.02631578947368421","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1374295021499785218","https://twitter.com/haruchannna/status/1374295021499785218","早くママのとこ行きたいよ😂 https://t.co/6lLCMAliPH","2021-03-23 09:40 +0000","5479.0","728.0","0.132870961854353","7.0","12.0","317.0","95.0","7.0","0.0","132.0","0.0","0","0","0","0","0","1398","158","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1373441532154376194","https://twitter.com/haruchannna/status/1373441532154376194","箱崎に新しくできたペットショップCOO&amp;RIKUの無料ドッグランにて

大はしゃぎのみるくさんです♪ https://t.co/RDk328R61N","2021-03-21 01:09 +0000","2641.0","256.0","0.096932979931844","3.0","0.0","158.0","36.0","2.0","0.0","18.0","0.0","0","0","0","0","0","601","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1372783500244381697","https://twitter.com/haruchannna/status/1372783500244381697","ご飯待ち https://t.co/XLaAtfUMhx","2021-03-19 05:34 +0000","2620.0","330.0","0.12595419847328243","1.0","1.0","207.0","29.0","5.0","0.0","43.0","0.0","0","0","0","0","0","482","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
