"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1387757287545221124","https://twitter.com/haruchannna/status/1387757287545221124","こんなとこに寝床作っちゃいました🥴 https://t.co/0QfBzkr3eA","2021-04-29 13:14 +0000","2153.0","263.0","0.12215513237343242","1.0","1.0","163.0","17.0","2.0","0.0","30.0","0.0","0","0","0","0","0","514","49","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387407092114362371","https://twitter.com/haruchannna/status/1387407092114362371","ケンカしました✊ https://t.co/upumXIvaPB","2021-04-28 14:03 +0000","3978.0","612.0","0.15384615384615385","1.0","2.0","224.0","80.0","2.0","0.0","94.0","0.0","0","0","0","0","0","1045","209","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1387036770647171072","https://twitter.com/haruchannna/status/1387036770647171072","きょうも1日お疲れちゃまでした😪 https://t.co/hzyrfmkS9n","2021-04-27 13:31 +0000","2398.0","320.0","0.13344453711426188","0.0","2.0","211.0","23.0","2.0","0.0","22.0","0.0","0","0","0","0","0","482","60","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1385907474314629120","https://twitter.com/haruchannna/status/1385907474314629120","今日は恐竜になってみました🦖 https://t.co/hOAfFCKnTL","2021-04-24 10:44 +0000","3230.0","419.0","0.12972136222910216","4.0","2.0","240.0","44.0","0.0","0.0","43.0","0.0","0","0","0","0","0","638","86","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1385231453194129414","https://twitter.com/haruchannna/status/1385231453194129414","今日も今日とて床作り🛌
でもそこベッドちゃうで https://t.co/VOEd1Kat7j","2021-04-22 13:58 +0000","1300.0","203.0","0.15615384615384614","0.0","1.0","147.0","12.0","0.0","0.0","12.0","0.0","0","0","0","0","0","343","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1384530027086180354","https://twitter.com/haruchannna/status/1384530027086180354","哀愁漂ういじけたお尻🍑
お顔を除くと完全にふてくされてます🤣

お掃除中我慢させてごめんね😂 https://t.co/XVlgnvT6iS","2021-04-20 15:30 +0000","2311.0","368.0","0.1592384249242752","0.0","0.0","178.0","22.0","1.0","0.0","18.0","0.0","0","0","0","0","0","149","149","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1383545502487126023","https://twitter.com/haruchannna/status/1383545502487126023","まだ眠いからクネクネしちゃうよ🥱 https://t.co/tHPc4xNiZh","2021-04-17 22:18 +0000","2133.0","314.0","0.1472105016408814","4.0","1.0","200.0","42.0","0.0","0.0","30.0","0.0","0","0","0","0","0","512","37","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1383541330001862661","https://twitter.com/haruchannna/status/1383541330001862661","おはようございます☀
みるくの頭の匂い、本日もまろやかです https://t.co/DOG85TMWOo","2021-04-17 22:02 +0000","1728.0","260.0","0.15046296296296297","2.0","3.0","175.0","23.0","0.0","0.0","26.0","0.0","0","0","0","0","0","388","31","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1383001577489780739","https://twitter.com/haruchannna/status/1383001577489780739","レインコートと靴に挑戦してみたけど、すっごく歩きにくそう🤣
慣れるかな〜これ😓 https://t.co/Dgno2UyhWR","2021-04-16 10:17 +0000","3200.0","368.0","0.115","6.0","5.0","209.0","23.0","2.0","0.0","52.0","0.0","0","0","0","0","0","770","71","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1381976439474384905","https://twitter.com/haruchannna/status/1381976439474384905","「世界から猫が消えたなら🐱」
を観て感動して泣いてたら
横目で見られてた😂
これでもきっと心配してくれてるはず笑 https://t.co/GIAd3GOiyy","2021-04-13 14:23 +0000","1486.0","197.0","0.1325706594885599","1.0","1.0","141.0","14.0","2.0","0.0","9.0","0.0","0","0","0","0","0","365","29","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
